1,none,GO,0,0,"0 0 0 0 0"
2,store,地中海（メディタレーニアン）通り,braun,50,"50 100 150 200 250"
3,fund,共同基金（コミュニティー・チェスト,0,0,"0 0 0 0 0"
4,store,バルティック通り,braun,50,"60 100 150 200 250"
5,store,バルティック通り,braun,50,"60 100 150 200 250"
6,store,地中海（メディタレーニアン）通り,braun,50,"50 100 150 200 250"
7,fund,共同基金（コミュニティー・チェスト,0,0,"0 0 0 0 0"
8,store,バルティック通り,braun,50,"60 100 150 200 250"
9,store,バルティック通り,braun,50,"60 100 150 200 250"
10,store,地中海（メディタレーニアン）通り,braun,50,"50 100 150 200 250"
11,fund,共同基金（コミュニティー・チェスト,0,0,"0 0 0 0 0"
12,store,バルティック通り,braun,50,"60 100 150 200 250"
13,fund,共同基金（コミュニティー・チェスト,0,0,"0 0 0 0 0"
14,store,バルティック通り,braun,50,"60 100 150 200 250"
15,store,バルティック通り,braun,50,"60 100 150 200 250"
16,store,地中海（メディタレーニアン）通り,braun,50,"50 100 150 200 250"
17,fund,共同基金（コミュニティー・チェスト,0,0,"0 0 0 0 0"
18,store,バルティック通り,braun,50,"60 100 150 200 250"
19,store,バルティック通り,braun,50,"60 100 150 200 250"
20,fund,共同基金（コミュニティー・チェスト,0,0,"0 0 0 0 0"
31,store,バルティック通り,braun,50,"60 100 150 200 250"
32,store,地中海（メディタレーニアン）通り,braun,50,"50 100 150 200 250"
33,fund,共同基金（コミュニティー・チェスト,0,0,"0 0 0 0 0"
34,store,バルティック通り,braun,50,"60 100 150 200 250"
35,store,バルティック通り,braun,50,"60 100 150 200 250"
36,store,地中海（メディタレーニアン）通り,braun,50,"50 100 150 200 250"
37,fund,共同基金（コミュニティー・チェスト,0,0,"0 0 0 0 0"
38,store,バルティック通り,braun,50,"60 100 150 200 250"
39,store,バルティック通り,braun,50,"60 100 150 200 250"
